"","Crop","Acres","fips","name","state","Name","Demand","Avg_water_use"
"1","Pistachios",5.6,"04001","Apache County","AZ","ARIZONA",4,22.4
"2","Dbl Crop Oats_Corn",2.2,"04001","Apache County","AZ","ARIZONA",NA,NA
"3","Corn",1.1,"04001","Apache County","AZ","ARIZONA",4.7,5.17
"4","Alfalfa",20827.9,"04003","Cochise County","AZ","ARIZONA",5.8,120801.82
"5","Corn",16914.4,"04003","Cochise County","AZ","ARIZONA",4.7,79497.68
"6","Pecans",14078.5,"04003","Cochise County","AZ","ARIZONA",5,70392.5
"7","Winter Wheat",10757.9,"04003","Cochise County","AZ","ARIZONA",3.6,38728.44
"8","Cotton",4338.9,"04003","Cochise County","AZ","ARIZONA",4.6,19958.94
"9","Sorghum",2275.8,"04003","Cochise County","AZ","ARIZONA",4.4,10013.52
"10","Dbl Crop Oats_Corn",2227.3,"04003","Cochise County","AZ","ARIZONA",NA,NA
"11","Pecans",8.5,"04005","Coconino County","AZ","ARIZONA",5,42.5
"12","Alfalfa",6.7,"04005","Coconino County","AZ","ARIZONA",5.8,38.86
"13","Alfalfa",430.1,"04007","Gila County","AZ","ARIZONA",5.8,2494.58
"14","Cotton",24279.7,"04009","Graham County","AZ","ARIZONA",4.6,111686.62
"15","Alfalfa",7295,"04009","Graham County","AZ","ARIZONA",5.8,42311
"16","Dbl Crop Oats_Corn",3955.7,"04009","Graham County","AZ","ARIZONA",NA,NA
"17","Corn",2607.1,"04009","Graham County","AZ","ARIZONA",4.7,12253.37
"18","Winter Wheat",2481.5,"04009","Graham County","AZ","ARIZONA",3.6,8933.4
"19","Dry Beans",1818.3,"04009","Graham County","AZ","ARIZONA",2.3,4182.09
"20","Alfalfa",1301.7,"04011","Greenlee County","AZ","ARIZONA",5.8,7549.86
"21","Pecans",1004.1,"04011","Greenlee County","AZ","ARIZONA",5,5020.5
"22","Cotton",911.8,"04011","Greenlee County","AZ","ARIZONA",4.6,4194.28
"23","Other Hay_Non Alfalfa",487.3,"04011","Greenlee County","AZ","ARIZONA",3.3,1608.09
"24","Barley",153,"04011","Greenlee County","AZ","ARIZONA",4.8,734.4
"25","Alfalfa",76956.6,"04012","La Paz County","AZ","ARIZONA",5.8,446348.28
"26","Cotton",9338.1,"04012","La Paz County","AZ","ARIZONA",4.6,42955.26
"27","Other Hay_Non Alfalfa",5169.6,"04012","La Paz County","AZ","ARIZONA",3.3,17059.68
"28","Alfalfa",153896.2,"04013","Maricopa County","AZ","ARIZONA",5.8,892597.96
"29","Cotton",17226,"04013","Maricopa County","AZ","ARIZONA",4.6,79239.6
"30","Winter Wheat",14983.4,"04013","Maricopa County","AZ","ARIZONA",3.6,53940.24
"31","Corn",11479.1,"04013","Maricopa County","AZ","ARIZONA",4.7,53951.77
"32","Millet",7033.9,"04013","Maricopa County","AZ","ARIZONA",4.4,30949.16
"33","Barley",6462.1,"04013","Maricopa County","AZ","ARIZONA",4.8,31018.08
"34","Other Hay_Non Alfalfa",4780.4,"04013","Maricopa County","AZ","ARIZONA",3.3,15775.32
"35","Alfalfa",15774,"04015","Mohave County","AZ","ARIZONA",5.8,91489.2
"36","Cotton",2762.6,"04015","Mohave County","AZ","ARIZONA",4.6,12707.96
"37","Winter Wheat",1388.4,"04015","Mohave County","AZ","ARIZONA",3.6,4998.24
"38","Dbl Crop Oats_Corn",57.4,"04017","Navajo County","AZ","ARIZONA",NA,NA
